weather_id,airport_code,weather_date,weather_condition,temperature_c,visibility_km,wind_speed_kmh,delay_risk
109,DXB,2025-04-19,Clear,26.2,9.6,7,Low
110,DXB,2025-04-20,Clear,38.5,8.3,20,Low
111,DXB,2025-04-21,Clear,37.2,9.9,7,Low
112,DXB,2025-04-22,Clear,46.0,9.9,6,Low
113,DXB,2025-04-23,Hot,28.2,8.5,20,Low
114,DXB,2025-04-24,Dust Storm,36.6,1.1,67,High
115,DXB,2025-04-25,Sunny,25.3,9.9,19,Low
116,DXB,2025-04-26,Dust Storm,31.5,3.9,59,High
117,DXB,2025-04-27,Sunny,38.9,8.9,16,Low
118,DXB,2025-04-28,Clear,33.6,9.7,7,Low
119,DXB,2025-04-29,Clear,46.1,8.6,14,Low
120,DXB,2025-04-30,Sunny,30.2,9.7,19,Low
121,DXB,2025-05-01,Hot,30.8,9.3,15,Low
122,DXB,2025-05-02,Sunny,43.3,8.7,13,Low
123,DXB,2025-05-03,Clear,40.4,8.4,13,Low
124,DXB,2025-05-04,Sunny,29.0,9.4,16,Low
125,DXB,2025-05-05,Hot,46.0,8.0,9,Low
126,DXB,2025-05-06,Sunny,35.2,10.0,19,Low
127,DXB,2025-05-07,Hot,37.3,8.5,15,Low
128,DXB,2025-05-08,Dust Storm,31.6,4.3,30,High
129,DXB,2025-05-09,Dust Storm,40.7,4.3,51,High
130,DXB,2025-05-10,Hot,36.5,9.0,20,Low
131,DXB,2025-05-11,Hot,30.4,9.0,8,Low
132,DXB,2025-05-12,Dust Storm,43.3,3.1,53,High
133,DXB,2025-05-13,Clear,28.0,8.9,7,Low
134,DXB,2025-05-14,Sunny,25.3,9.8,8,Low
135,DXB,2025-05-15,Dust Storm,28.5,4.9,63,High
136,DXB,2025-05-16,Dust Storm,30.9,5.0,56,High
137,DXB,2025-05-17,Clear,27.1,9.1,7,Low
138,DXB,2025-05-18,Hot,40.6,8.1,14,Low
139,DXB,2025-05-19,Sunny,41.4,8.0,6,Low
140,DXB,2025-05-20,Hot,45.8,8.7,17,Low
141,DXB,2025-05-21,Hot,44.1,9.7,12,Low
142,DXB,2025-05-22,Sunny,33.7,9.9,7,Low
143,DXB,2025-05-23,Sunny,27.6,9.3,14,Low
144,DXB,2025-05-24,Clear,47.3,8.3,18,Low
145,DXB,2025-05-25,Dust Storm,27.7,1.9,54,High
146,DXB,2025-05-26,Hot,44.0,9.0,11,Low
147,DXB,2025-05-27,Sunny,42.7,9.0,11,Low
148,DXB,2025-05-28,Hot,37.3,9.1,11,Low
149,DXB,2025-05-29,Clear,41.7,9.9,15,Low
150,DXB,2025-05-30,Hot,46.1,10.0,8,Low
151,DXB,2025-05-31,Clear,29.4,8.1,18,Low
152,DXB,2025-06-01,Hot,45.9,8.4,12,Low
153,DXB,2025-06-02,Clear,31.3,9.1,16,Low
154,DXB,2025-06-03,Hot,27.8,9.2,11,Low
155,DXB,2025-06-04,Dust Storm,43.7,2.9,40,High
156,DXB,2025-06-05,Sunny,32.1,9.8,20,Low
157,DXB,2025-06-06,Sunny,36.5,9.1,13,Low
158,DXB,2025-06-07,Clear,35.7,8.2,17,Low
159,DXB,2025-06-08,Dust Storm,32.3,2.1,52,High
160,DXB,2025-06-09,Hot,41.9,9.6,10,Low
161,DXB,2025-06-10,Hot,25.4,8.4,13,Low
162,DXB,2025-06-11,Dust Storm,34.9,3.4,49,High
163,DXB,2025-06-12,Hot,41.0,9.9,14,Low
164,DXB,2025-06-13,Sunny,34.6,9.0,14,Low
165,DXB,2025-06-14,Clear,32.8,8.3,11,Low
166,DXB,2025-06-15,Dust Storm,38.4,1.0,70,High
167,DXB,2025-06-16,Sunny,26.7,9.3,20,Low
168,DXB,2025-06-17,Clear,27.6,8.4,11,Low
169,DXB,2025-06-18,Sunny,46.2,8.1,5,Low
170,DXB,2025-06-19,Hot,47.2,9.3,15,Low
171,DXB,2025-06-20,Dust Storm,45.4,1.7,42,High
172,DXB,2025-06-21,Dust Storm,40.3,2.6,33,High
173,DXB,2025-06-22,Sunny,37.5,8.9,8,Low
174,DXB,2025-06-23,Clear,46.7,9.5,18,Low
175,DXB,2025-06-24,Hot,47.4,9.4,15,Low
176,DXB,2025-06-25,Sunny,43.0,8.7,7,Low
177,DXB,2025-06-26,Hot,26.1,9.3,20,Low
178,DXB,2025-06-27,Clear,33.1,8.5,8,Low
179,DXB,2025-06-28,Hot,38.5,9.7,7,Low
180,DXB,2025-06-29,Dust Storm,30.1,1.7,63,High
181,DXB,2025-06-30,Hot,33.2,9.7,12,Low
182,DXB,2025-07-01,Clear,34.7,9.7,5,Low
183,DXB,2025-07-02,Clear,30.1,8.3,7,Low
184,DXB,2025-07-03,Dust Storm,39.5,3.6,36,High
185,DXB,2025-07-04,Sunny,44.6,8.3,7,Low
186,DXB,2025-07-05,Clear,25.6,9.4,7,Low
187,DXB,2025-07-06,Sunny,28.6,8.2,5,Low
188,DXB,2025-07-07,Hot,45.7,9.0,13,Low
189,DXB,2025-07-08,Dust Storm,48.0,3.5,56,High
190,DXB,2025-07-09,Sunny,41.3,8.8,12,Low
191,DXB,2025-07-10,Clear,25.8,8.5,19,Low
192,DXB,2025-07-11,Dust Storm,46.8,3.1,47,High
193,DXB,2025-07-12,Clear,31.0,9.3,13,Low
194,DXB,2025-07-13,Hot,36.6,9.2,13,Low
195,DXB,2025-07-14,Dust Storm,44.3,4.9,60,High
196,DXB,2025-07-15,Clear,30.7,9.9,6,Low
197,DXB,2025-07-16,Clear,41.8,8.5,8,Low
198,DXB,2025-07-17,Dust Storm,40.4,4.2,39,High
199,DXB,2025-07-18,Clear,31.5,9.3,16,Low
200,DXB,2025-07-19,Clear,42.1,9.7,8,Low
201,DXB,2025-07-20,Clear,39.6,9.6,7,Low
202,DXB,2025-07-21,Hot,25.3,8.0,7,Low
203,DXB,2025-07-22,Clear,38.5,8.3,20,Low
204,DXB,2025-07-23,Sunny,37.3,9.5,14,Low
205,DXB,2025-07-24,Sunny,32.0,8.7,18,Low
206,DXB,2025-07-25,Clear,35.4,9.0,13,Low
207,DXB,2025-07-26,Clear,39.7,8.9,19,Low
208,DXB,2025-07-27,Hot,26.9,8.5,12,Low
209,DXB,2025-07-28,Hot,33.1,8.5,10,Low
210,DXB,2025-07-29,Clear,28.5,9.1,14,Low
211,DXB,2025-07-30,Dust Storm,42.5,2.6,32,High
212,DXB,2025-07-31,Sunny,39.1,8.6,5,Low
213,DXB,2025-08-01,Sunny,39.9,8.8,12,Low
214,DXB,2025-08-02,Hot,37.8,8.7,14,Low
215,DXB,2025-08-03,Sunny,37.5,9.7,14,Low
216,DXB,2025-08-04,Sunny,26.3,9.9,17,Low
217,DXB,2025-08-05,Hot,35.0,9.1,17,Low
218,DXB,2025-08-06,Hot,31.2,8.5,15,Low
219,DXB,2025-08-07,Dust Storm,42.1,4.6,59,High
220,DXB,2025-08-08,Dust Storm,33.3,2.7,34,High
221,DXB,2025-08-09,Clear,30.7,8.0,7,Low
222,DXB,2025-08-10,Hot,28.1,9.2,14,Low
223,DXB,2025-08-11,Sunny,39.5,8.7,20,Low
224,DXB,2025-08-12,Dust Storm,28.8,3.9,47,High
225,DXB,2025-08-13,Clear,25.5,8.3,8,Low
226,DXB,2025-08-14,Dust Storm,28.1,1.7,67,High
227,DXB,2025-08-15,Hot,30.1,8.3,5,Low
228,DXB,2025-08-16,Clear,31.8,9.7,7,Low
229,DXB,2025-08-17,Hot,35.7,9.5,20,Low
230,DXB,2025-08-18,Clear,31.6,9.3,12,Low
231,DXB,2025-08-19,Dust Storm,28.4,1.2,59,High
232,DXB,2025-08-20,Clear,32.3,8.2,11,Low
233,DXB,2025-08-21,Dust Storm,41.9,3.0,59,High
234,DXB,2025-08-22,Hot,38.3,9.0,16,Low
235,DXB,2025-08-23,Clear,42.1,9.7,16,Low
236,DXB,2025-08-24,Clear,32.4,8.6,12,Low
237,DXB,2025-08-25,Hot,32.4,9.5,15,Low
238,DXB,2025-08-26,Sunny,32.2,8.2,14,Low
239,DXB,2025-08-27,Clear,34.7,8.1,12,Low
240,DXB,2025-08-28,Dust Storm,27.9,2.1,30,High
241,DXB,2025-08-29,Hot,37.8,8.8,6,Low
242,DXB,2025-08-30,Dust Storm,44.6,3.6,49,High
243,DXB,2025-08-31,Hot,42.0,8.7,6,Low
244,DXB,2025-09-01,Dust Storm,38.3,2.0,61,High
245,DXB,2025-09-02,Hot,41.1,9.1,6,Low
246,DXB,2025-09-03,Sunny,32.5,8.7,5,Low
247,DXB,2025-09-04,Sunny,45.0,8.4,15,Low
248,DXB,2025-09-05,Hot,32.6,8.7,15,Low
249,DXB,2025-09-06,Clear,47.3,9.2,16,Low
250,DXB,2025-09-07,Clear,36.1,9.7,13,Low
251,DXB,2025-09-08,Dust Storm,34.5,3.0,33,High
252,DXB,2025-09-09,Hot,46.8,8.8,12,Low
253,DXB,2025-09-10,Hot,26.2,8.2,12,Low
254,DXB,2025-09-11,Hot,32.1,8.1,19,Low
255,DXB,2025-09-12,Hot,33.3,9.3,6,Low
256,DXB,2025-09-13,Sunny,46.0,8.4,15,Low
257,DXB,2025-09-14,Sunny,30.5,8.4,12,Low
258,DXB,2025-09-15,Dust Storm,37.5,2.2,39,High
259,DXB,2025-09-16,Sunny,27.8,8.5,14,Low
260,DXB,2025-09-17,Sunny,39.4,9.7,14,Low
261,DXB,2025-09-18,Dust Storm,25.6,2.4,49,High
262,DXB,2025-09-19,Clear,25.5,8.8,18,Low
263,DXB,2025-09-20,Clear,32.1,8.2,17,Low
264,DXB,2025-09-21,Sunny,33.6,8.6,19,Low
265,DXB,2025-09-22,Clear,44.5,9.1,13,Low
266,DXB,2025-09-23,Hot,32.7,8.6,18,Low
267,DXB,2025-09-24,Clear,43.5,8.4,11,Low
268,DXB,2025-09-25,Sunny,41.1,9.4,6,Low
269,DXB,2025-09-26,Sunny,27.7,9.9,6,Low
270,DXB,2025-09-27,Clear,37.5,8.9,5,Low
271,DXB,2025-09-28,Sunny,46.8,9.5,8,Low
272,DXB,2025-09-29,Dust Storm,37.7,4.7,30,High
273,DXB,2025-09-30,Dust Storm,44.8,4.8,62,High
274,DXB,2025-10-01,Hot,46.4,9.6,7,Low
275,DXB,2025-10-02,Dust Storm,32.4,3.4,43,High
276,DXB,2025-10-03,Clear,45.7,8.1,10,Low
277,DXB,2025-10-04,Dust Storm,28.2,2.2,32,High
278,DXB,2025-10-05,Sunny,44.4,8.5,16,Low
279,DXB,2025-10-06,Hot,29.6,9.2,13,Low
280,DXB,2025-10-07,Dust Storm,47.2,3.1,63,High
281,DXB,2025-10-08,Hot,36.0,8.5,14,Low
282,DXB,2025-10-09,Clear,38.6,9.6,20,Low
283,DXB,2025-10-10,Clear,47.5,9.4,5,Low
284,DXB,2025-10-11,Sunny,43.8,8.7,12,Low
285,DXB,2025-10-12,Hot,37.0,9.1,9,Low
286,DXB,2025-10-13,Sunny,25.8,8.4,12,Low
287,DXB,2025-10-14,Sunny,28.7,8.2,9,Low
288,DXB,2025-10-15,Dust Storm,40.1,4.8,55,High
289,DXB,2025-10-16,Sunny,44.4,9.0,16,Low
290,DXB,2025-10-17,Hot,40.9,8.7,6,Low
291,DXB,2025-10-18,Hot,27.2,9.1,19,Low
292,DXB,2025-10-19,Dust Storm,46.5,1.4,40,High
293,DXB,2025-10-20,Dust Storm,43.2,1.6,49,High
294,DXB,2025-10-21,Clear,34.5,9.0,5,Low
295,DXB,2025-10-22,Hot,39.5,9.4,7,Low
296,DXB,2025-10-23,Sunny,36.5,8.1,10,Low
297,DXB,2025-10-24,Dust Storm,45.6,3.5,42,High
298,DXB,2025-10-25,Hot,40.1,9.0,16,Low
299,DXB,2025-10-26,Dust Storm,31.1,2.5,61,High
300,DXB,2025-10-27,Hot,42.1,8.2,20,Low
301,DXB,2025-10-28,Sunny,25.2,9.6,19,Low
302,DXB,2025-10-29,Clear,47.8,8.8,17,Low
303,DXB,2025-10-30,Clear,45.6,9.0,13,Low
304,DXB,2025-10-31,Clear,44.5,9.1,7,Low
305,DXB,2025-11-01,Sunny,25.6,9.7,5,Low
306,DXB,2025-11-02,Sunny,28.9,8.4,7,Low
307,DXB,2025-11-03,Clear,35.3,8.8,5,Low
308,DXB,2025-11-04,Dust Storm,47.1,5.0,38,High
309,DXB,2025-11-05,Hot,40.4,8.7,20,Low
310,DXB,2025-11-06,Dust Storm,31.8,1.4,38,High
311,DXB,2025-11-07,Hot,36.5,8.3,20,Low
312,DXB,2025-11-08,Clear,47.9,9.0,9,Low
313,DXB,2025-11-09,Sunny,47.6,9.2,6,Low
314,DXB,2025-11-10,Hot,47.6,8.9,7,Low
315,DXB,2025-11-11,Clear,34.9,8.2,7,Low
316,DXB,2025-11-12,Dust Storm,37.1,2.2,67,High
317,DXB,2025-11-13,Sunny,39.6,8.8,12,Low
318,DXB,2025-11-14,Clear,35.4,9.2,7,Low
319,DXB,2025-11-15,Hot,33.1,9.8,16,Low
320,DXB,2025-11-16,Sunny,38.6,8.5,11,Low
321,DXB,2025-11-17,Clear,45.5,9.2,20,Low
322,DXB,2025-11-18,Sunny,30.1,9.8,10,Low
323,DXB,2025-11-19,Hot,44.3,9.8,16,Low
324,DXB,2025-11-20,Clear,36.4,8.6,19,Low
325,DXB,2025-11-21,Clear,31.4,9.8,17,Low
326,DXB,2025-11-22,Clear,43.5,8.6,13,Low
327,DXB,2025-11-23,Dust Storm,30.9,2.7,51,High
328,DXB,2025-11-24,Sunny,30.7,8.2,7,Low
329,DXB,2025-11-25,Hot,27.9,8.3,7,Low
330,DXB,2025-11-26,Sunny,33.1,9.5,16,Low
331,DXB,2025-11-27,Sunny,28.8,8.9,18,Low
332,DXB,2025-11-28,Dust Storm,25.8,3.6,41,High
333,DXB,2025-11-29,Clear,28.4,9.9,8,Low
334,DXB,2025-11-30,Sunny,30.7,9.2,10,Low
335,DXB,2025-12-01,Clear,32.4,8.5,14,Low
336,DXB,2025-12-02,Hot,35.3,8.4,20,Low
337,DXB,2025-12-03,Dust Storm,37.6,1.4,35,High
338,DXB,2025-12-04,Clear,44.1,8.6,6,Low
339,DXB,2025-12-05,Dust Storm,29.3,3.0,48,High
340,DXB,2025-12-06,Sunny,31.4,9.9,19,Low
341,DXB,2025-12-07,Hot,35.1,8.6,15,Low
342,DXB,2025-12-08,Hot,47.8,9.5,8,Low
343,DXB,2025-12-09,Dust Storm,42.5,1.9,42,High
344,DXB,2025-12-10,Sunny,26.5,8.7,13,Low
345,DXB,2025-12-11,Dust Storm,34.0,2.8,35,High
346,DXB,2025-12-12,Hot,41.9,8.1,17,Low
347,DXB,2025-12-13,Hot,32.7,9.3,7,Low
348,DXB,2025-12-14,Dust Storm,28.3,3.2,46,High
349,DXB,2025-12-15,Clear,26.8,8.4,6,Low
350,DXB,2025-12-16,Sunny,36.0,8.2,20,Low
351,DXB,2025-12-17,Clear,45.2,8.3,9,Low
352,DXB,2025-12-18,Hot,32.6,9.9,17,Low
353,DXB,2025-12-19,Hot,26.9,8.6,14,Low
354,DXB,2025-12-20,Sunny,37.6,8.0,15,Low
355,DXB,2025-12-21,Hot,44.7,8.1,15,Low
356,DXB,2025-12-22,Clear,36.9,9.6,5,Low
357,DXB,2025-12-23,Hot,42.7,8.0,19,Low
358,DXB,2025-12-24,Dust Storm,40.9,3.8,67,High
359,DXB,2025-12-25,Sunny,44.8,9.2,18,Low
360,DXB,2025-12-26,Hot,42.0,9.4,12,Low
361,DXB,2025-12-27,Sunny,27.4,9.8,5,Low
362,DXB,2025-12-28,Dust Storm,36.9,1.3,58,High
363,DXB,2025-12-29,Hot,41.0,9.9,8,Low
364,DXB,2025-12-30,Dust Storm,44.5,1.3,50,High
365,DXB,2025-12-31,Dust Storm,35.9,3.7,63,High
366,DWC,2025-01-01,Dust Storm,34.9,4.2,64,High
367,DWC,2025-01-02,Hot,27.7,8.9,10,Low
368,DWC,2025-01-03,Sunny,29.6,9.1,16,Low
369,DWC,2025-01-04,Clear,40.1,8.7,14,Low
370,DWC,2025-01-05,Sunny,26.5,9.7,14,Low
371,DWC,2025-01-06,Sunny,40.3,9.9,17,Low
372,DWC,2025-01-07,Hot,27.1,9.1,7,Low
373,DWC,2025-01-08,Sunny,33.8,9.6,20,Low
374,DWC,2025-01-09,Dust Storm,29.6,3.0,33,High
375,DWC,2025-01-10,Hot,27.7,8.5,17,Low
376,DWC,2025-01-11,Dust Storm,35.4,2.8,36,High
377,DWC,2025-01-12,Dust Storm,38.1,2.2,38,High
378,DWC,2025-01-13,Clear,27.2,9.6,11,Low
379,DWC,2025-01-14,Hot,47.2,9.4,11,Low
380,DWC,2025-01-15,Dust Storm,38.5,2.4,36,High
381,DWC,2025-01-16,Clear,43.7,9.3,16,Low
382,DWC,2025-01-17,Dust Storm,25.5,1.4,65,High
383,DWC,2025-01-18,Hot,33.0,9.3,10,Low
384,DWC,2025-01-19,Hot,45.3,9.9,10,Low
385,DWC,2025-01-20,Clear,36.9,8.9,11,Low
386,DWC,2025-01-21,Sunny,29.7,8.2,14,Low
387,DWC,2025-01-22,Dust Storm,34.0,4.3,47,High
388,DWC,2025-01-23,Sunny,38.2,9.7,10,Low
389,DWC,2025-01-24,Dust Storm,28.3,3.3,40,High
390,DWC,2025-01-25,Clear,33.0,9.9,16,Low
391,DWC,2025-01-26,Clear,35.2,8.3,5,Low
392,DWC,2025-01-27,Hot,29.6,9.4,9,Low
393,DWC,2025-01-28,Dust Storm,43.4,4.2,32,High
394,DWC,2025-01-29,Dust Storm,34.1,2.5,47,High
395,DWC,2025-01-30,Sunny,33.4,9.2,11,Low
396,DWC,2025-01-31,Sunny,30.5,8.6,12,Low
397,DWC,2025-02-01,Dust Storm,42.8,2.5,33,High
398,DWC,2025-02-02,Clear,25.1,8.8,9,Low
399,DWC,2025-02-03,Hot,36.9,9.7,6,Low
400,DWC,2025-02-04,Hot,46.7,9.4,20,Low
401,DWC,2025-02-05,Clear,38.4,8.3,7,Low
402,DWC,2025-02-06,Sunny,34.9,9.9,11,Low
403,DWC,2025-02-07,Dust Storm,41.0,3.1,31,High
404,DWC,2025-02-08,Sunny,31.2,9.8,9,Low
405,DWC,2025-02-09,Sunny,28.8,9.5,10,Low
406,DWC,2025-02-10,Clear,38.3,9.1,20,Low
407,DWC,2025-02-11,Sunny,42.6,9.9,19,Low
408,DWC,2025-02-12,Dust Storm,25.9,1.3,40,High
409,DWC,2025-02-13,Hot,40.8,10.0,14,Low
410,DWC,2025-02-14,Clear,27.0,9.8,9,Low
411,DWC,2025-02-15,Clear,43.7,8.2,11,Low
412,DWC,2025-02-16,Dust Storm,35.9,4.4,32,High
413,DWC,2025-02-17,Sunny,38.5,10.0,15,Low
414,DWC,2025-02-18,Hot,28.4,8.0,11,Low
415,DWC,2025-02-19,Sunny,40.9,9.0,8,Low
416,DWC,2025-02-20,Sunny,30.5,8.6,5,Low
417,DWC,2025-02-21,Dust Storm,27.4,4.3,65,High
418,DWC,2025-02-22,Clear,45.3,9.9,14,Low
419,DWC,2025-02-23,Hot,25.6,9.7,9,Low
420,DWC,2025-02-24,Dust Storm,39.6,3.7,68,High
421,DWC,2025-02-25,Dust Storm,36.9,5.0,36,High
422,DWC,2025-02-26,Dust Storm,31.4,3.2,49,High
423,DWC,2025-02-27,Dust Storm,40.1,2.0,39,High
424,DWC,2025-02-28,Clear,29.4,9.6,17,Low
425,DWC,2025-03-01,Hot,28.8,8.7,14,Low
426,DWC,2025-03-02,Dust Storm,31.4,2.8,61,High
427,DWC,2025-03-03,Hot,28.2,8.7,14,Low
428,DWC,2025-03-04,Sunny,47.3,8.8,7,Low
429,DWC,2025-03-05,Clear,31.2,8.1,7,Low
430,DWC,2025-03-06,Dust Storm,40.4,4.2,40,High
431,DWC,2025-03-07,Hot,41.2,10.0,8,Low
432,DWC,2025-03-08,Sunny,40.9,8.1,17,Low
433,DWC,2025-03-09,Clear,42.0,8.0,17,Low
434,DWC,2025-03-10,Clear,34.4,8.4,17,Low
435,DWC,2025-03-11,Hot,35.8,9.5,10,Low
436,DWC,2025-03-12,Sunny,33.7,8.1,14,Low
437,DWC,2025-03-13,Sunny,43.5,9.8,9,Low
438,DWC,2025-03-14,Hot,30.9,8.4,16,Low
439,DWC,2025-03-15,Hot,25.1,8.7,18,Low
440,DWC,2025-03-16,Dust Storm,31.6,4.8,55,High
441,DWC,2025-03-17,Sunny,41.3,9.0,13,Low
442,DWC,2025-03-18,Dust Storm,45.9,1.6,61,High
443,DWC,2025-03-19,Clear,26.6,9.7,20,Low
444,DWC,2025-03-20,Sunny,35.0,8.1,13,Low
445,DWC,2025-03-21,Dust Storm,28.3,1.8,48,High
446,DWC,2025-03-22,Hot,41.8,9.0,7,Low
447,DWC,2025-03-23,Dust Storm,40.6,1.8,39,High
448,DWC,2025-03-24,Sunny,30.8,9.9,8,Low
449,DWC,2025-03-25,Hot,25.6,9.3,7,Low
450,DWC,2025-03-26,Clear,47.2,9.3,14,Low
451,DWC,2025-03-27,Clear,44.0,8.0,6,Low
452,DWC,2025-03-28,Clear,36.9,8.4,14,Low
